YYYY,MM,DD,HH24,MI format in Local standard time,Air Temperature in degrees C,Relative humidity in percentage %,Wind speed in km/h
2018,1,11,3,0,14.2,81,13
2018,1,11,3,30,14.1,79,11
2018,1,11,4,0,13.9,80,17
2018,1,11,4,30,14.2,78,15
2018,1,11,5,0,13.6,81,13
2018,1,11,5,30,13.7,82,18
2018,1,11,6,0,14.3,81,8
2018,1,11,6,30,16,80,11
2018,1,11,7,0,17.5,69,9
2018,1,11,7,30,20.3,62,11
2018,1,11,8,0,21.9,57,9
2018,1,11,8,30,23.8,53,9
2018,1,11,9,0,25.6,49,13
2018,1,11,9,30,27.9,35,9
2018,1,11,10,0,29.9,24,17
2018,1,11,10,30,30.4,22,24
2018,1,11,11,0,30.7,22,21
2018,1,11,11,30,31.4,19,24
2018,1,11,12,0,32.3,18,17
2018,1,11,12,30,32.8,18,22
2018,1,11,13,0,32.9,16,24
2018,1,11,13,30,33,15,22
2018,1,11,14,0,33.2,16,22
2018,1,11,14,30,33.4,16,21
2018,1,11,15,0,34.3,15,9
2018,1,11,15,30,33.4,16,11
2018,1,11,16,0,34.7,15,21
2018,1,11,16,30,33.7,18,22
2018,1,11,17,0,34.1,16,17
2018,1,11,17,30,33.5,17,22
2018,1,11,18,0,33.8,17,24
2018,1,11,18,30,33.5,17,22
2018,1,11,19,0,32.1,19,17
2018,1,11,19,30,30.6,23,15
2018,1,11,20,0,29.4,27,17
2018,1,11,20,30,27.8,31,13
2018,1,11,21,0,27.2,32,13
2018,1,11,21,30,25.7,38,13
2018,1,11,22,0,28,29,18
2018,1,11,22,30,27.8,30,15
2018,1,11,23,0,27.3,32,18
2018,1,11,23,30,27.6,30,18
2018,1,12,0,0,28.1,27,21
2018,1,12,0,30,28,26,17
2018,1,12,1,0,27.5,28,24
2018,1,12,1,30,27.4,28,21
2018,1,12,2,0,27.2,29,18
2018,1,12,2,30,27.5,28,24
2018,1,12,3,0,27.3,30,24
2018,1,12,3,30,27.4,29,28
2018,1,12,4,0,27,36,33
2018,1,12,4,30,27.2,41,31
2018,1,12,5,0,25.3,54,33
2018,1,12,5,30,27,44,46
2018,1,12,6,0,26.9,45,39
2018,1,12,6,30,26.8,45,42
2018,1,12,7,0,26.9,46,44
2018,1,12,7,30,26.7,47,24
2018,1,12,8,0,26.8,48,21
2018,1,12,8,30,26.6,50,21
2018,1,12,9,0,27.4,47,18
2018,1,12,9,30,27.4,50,21
2018,1,12,10,0,27.9,52,26
2018,1,12,10,30,29.4,49,28
2018,1,12,11,0,29.4,48,46
2018,1,12,11,30,29.1,50,44
2018,1,12,12,0,29.2,50,31
2018,1,12,12,30,26,58,35
2018,1,12,13,0,23.6,80,26
2018,1,12,13,30,25.2,67,17
2018,1,12,14,0,26.1,60,9
2018,1,12,14,30,26.2,57,21
2018,1,12,15,0,25.3,58,22
2018,1,12,15,30,25.2,56,30
2018,1,12,16,0,20.5,79,33
2018,1,12,16,30,18.9,78,24
2018,1,12,17,0,18,89,13
2018,1,12,17,30,17.8,91,13
2018,1,12,18,0,17.6,92,13
2018,1,12,18,30,17.5,91,4
2018,1,12,19,0,17.3,90,5
2018,1,12,19,30,17.3,93,13
2018,1,12,20,0,17.1,91,9
2018,1,12,20,30,17.2,94,11
2018,1,12,21,0,17.3,92,5
2018,1,12,21,30,17.3,91,8
2018,1,12,22,0,17.2,93,9
2018,1,12,22,30,17.2,94,8
2018,1,12,23,0,17.2,94,8
2018,1,12,23,30,16.2,83,15
2018,1,13,0,0,15.7,89,11
2018,1,13,0,30,15.8,89,9
2018,1,13,1,0,15.8,84,13
2018,1,13,1,30,15.4,87,11
2018,1,13,2,0,15,87,11
2018,1,13,2,30,14.8,87,11
2018,1,13,3,0,14.3,89,11
2018,1,13,3,30,14.1,89,11
2018,1,13,4,0,13.8,87,11
2018,1,13,4,30,13.7,88,13
2018,1,13,5,0,14.2,83,11
2018,1,13,5,30,14.3,84,8
2018,1,13,6,0,14.6,77,13
2018,1,13,6,30,14.9,79,13
2018,1,13,7,0,15.3,76,11
2018,1,13,7,30,16.6,63,18
2018,1,13,8,0,17.9,58,26
2018,1,13,8,30,18.2,51,28
2018,1,13,9,0,18.2,47,24
2018,1,13,9,30,18.6,46,24
2018,1,13,10,0,19.5,45,24
2018,1,13,10,30,20.2,42,21
2018,1,13,11,0,19.8,38,22
2018,1,13,11,30,20.1,38,26
2018,1,13,12,0,20.4,36,22
2018,1,13,12,30,20.2,35,26
2018,1,13,13,0,16.9,58,28
2018,1,13,13,30,15.8,76,21
2018,1,13,14,0,15.3,84,13
2018,1,13,14,30,15.1,88,9
2018,1,13,15,0,15.5,79,9
2018,1,13,15,30,14,92,24
2018,1,13,16,0,15.2,83,21
2018,1,13,16,30,15.2,80,17
2018,1,13,17,0,15.6,77,24
2018,1,13,17,30,14.7,81,28
2018,1,13,18,0,14.3,77,35
2018,1,13,18,30,12.2,96,31
2018,1,13,19,0,12.7,93,17
2018,1,13,19,30,12.8,91,18
2018,1,13,20,0,12,86,15
2018,1,13,20,30,12,88,18
2018,1,13,21,0,11.8,88,30
2018,1,13,21,30,11.5,86,28
2018,1,13,22,0,11.6,84,26
2018,1,13,22,30,11.6,86,22
2018,1,13,23,0,11.5,88,21
2018,1,13,23,30,11.2,89,22
2018,1,14,0,0,11.5,85,24
2018,1,14,0,30,11.4,85,24
2018,1,14,1,0,11.4,85,22
2018,1,14,1,30,11.2,85,22
2018,1,14,2,0,11,86,22
2018,1,14,2,30,10.8,89,18
2018,1,14,3,0,10.5,90,15
2018,1,14,3,30,10.4,94,13
2018,1,14,4,0,10.7,92,17
2018,1,14,4,30,10.7,89,11
2018,1,14,5,0,10.4,91,11
2018,1,14,5,30,10.6,90,11
2018,1,14,6,0,11.3,89,8
2018,1,14,6,30,11,92,11
2018,1,14,7,0,11.5,90,9
2018,1,14,7,30,11.5,90,13
2018,1,14,8,0,12.4,86,5
2018,1,14,8,30,13,86,11
2018,1,14,9,0,15.9,71,8
2018,1,14,9,30,15.8,63,28
2018,1,14,10,0,17.9,58,28
2018,1,14,10,30,16.1,62,26
2018,1,14,11,0,16.8,60,24
2018,1,14,11,30,17.6,53,31
2018,1,14,12,0,17.2,54,31
2018,1,14,12,30,19.2,49,31
2018,1,14,13,0,17.9,50,31
2018,1,14,13,30,18.4,43,30
2018,1,14,14,0,18.7,42,31
2018,1,14,14,30,18.3,43,31
2018,1,14,15,0,17.8,47,31
2018,1,14,15,30,18.6,44,31
2018,1,14,16,0,18.6,42,28
2018,1,14,16,30,17.6,38,31
2018,1,14,17,0,17.4,41,30
2018,1,14,17,30,17.6,45,26
2018,1,14,18,0,17.1,44,26
2018,1,14,18,30,16.7,49,24
2018,1,14,19,0,16.2,53,22
2018,1,14,19,30,15.5,54,22
2018,1,14,20,0,14.7,59,15
2018,1,14,20,30,14.5,62,13
2018,1,14,21,0,14,68,11
2018,1,14,21,30,13.4,75,11
2018,1,14,22,0,13.4,76,9
2018,1,14,22,30,13.9,73,8
2018,1,14,23,0,13.4,76,9
2018,1,14,23,30,13.9,77,9
2018,1,15,0,0,13.9,75,11
2018,1,15,0,30,14.1,74,11
2018,1,15,1,0,14.5,72,15
2018,1,15,1,30,14.5,69,17
2018,1,15,2,0,14.4,70,17
2018,1,15,2,30,14.4,70,15
2018,1,15,3,0,14.2,73,18
2018,1,15,3,30,14.3,77,13
2018,1,15,4,0,14.4,75,15
2018,1,15,4,30,14.2,78,17
